"Reporting starts","Reporting ends","Ad name","Ad delivery","Ad set budget","Ad set budget type","Amount spent (USD)",Reach,Impressions,Frequency,"Link clicks","CTR (link click-through rate)","CPC (cost per link click) (USD)","CPM (cost per 1,000 impressions) (USD)","Instagram profile visits","Instagram follows","IG Follow Rate","Cost Per Follow (CPF)"
2026-06-30,2026-06-30,"Joe Basil Pesto at Target",inactive,50,Daily,53.33,5813,5970,1.027008,639,10.703518,0.083459,8.932998,640,5,0.0078125,10.666
2026-06-30,2026-06-30,"Target On Shelves",active,50,Daily,6.34,423,425,1.004728,19,4.470588,0.333684,14.917647,19,3,0.15789474,2.11333333
2026-06-30,2026-06-30,"Trio Logo (Whole Foods)",active,50,Daily,48,17644,18263,1.035083,10,0.054756,4.8,2.628265,0,0,,
2026-06-30,2026-06-30,"Frozen Pasta Can't Be That Good",active,50,Daily,44.72,2787,2876,1.031934,117,4.06815,0.382222,15.549374,98,32,0.32653061,1.3975
2026-06-30,2026-06-30,"Basil Pesto Exclusive (Target)",active,50,Daily,41.34,16536,17111,1.034773,6,0.035065,6.89,2.41599,0,0,,
2026-06-30,2026-06-30,"Us v. Them",active,50,Daily,57.25,25577,25577,1,30,0.117293,1.908333,2.238339,9,0,0,
2026-06-29,2026-06-29,"Target On Shelves",active,50,Daily,14.87,983,989,1.006104,49,4.954499,0.303469,15.035389,45,4,0.08888889,3.7175
2026-06-29,2026-06-29,"Joe Basil Pesto at Target",inactive,50,Daily,48.68,5020,5062,1.008367,513,10.134334,0.094893,9.616752,510,9,0.01764706,5.40888889
2026-06-29,2026-06-29,"Frozen Pasta Can't Be That Good",active,50,Daily,43.84,2939,3086,1.050017,135,4.374595,0.324741,14.206092,119,43,0.36134454,1.01953488
2026-06-29,2026-06-29,"Joe Crispy Chicken Skin Crumble",active,50,Daily,0.31,26,27,1.038462,1,3.703704,0.31,11.481481,1,0,0,
2026-06-29,2026-06-29,"Trio Logo (Whole Foods)",active,50,Daily,35.44,13228,13961,1.055413,11,0.078791,3.221818,2.5385,0,0,,
2026-06-29,2026-06-29,"Basil Pesto Exclusive (Target)",active,50,Daily,39.68,16833,17421,1.034931,17,0.097583,2.334118,2.277711,0,0,,
2026-06-29,2026-06-29,"Us v. Them",active,50,Daily,49.05,16988,18152,1.068519,9,0.049581,5.45,2.702182,2,0,0,
2026-06-28,2026-06-28,"Target On Shelves",active,50,Daily,2.83,196,196,1,14,7.142857,0.202143,14.438776,12,2,0.16666667,1.415
2026-06-28,2026-06-28,"Joe Basil Pesto at Target",inactive,50,Daily,56.29,5677,5687,1.001761,627,11.025145,0.089777,9.898013,624,9,0.01442308,6.25444444
2026-06-28,2026-06-28,"Frozen Pasta Can't Be That Good",active,50,Daily,50.32,3021,3132,1.036743,111,3.544061,0.453333,16.066411,99,36,0.36363636,1.39777778
2026-06-28,2026-06-28,"Joe Crispy Chicken Skin Crumble",active,50,Daily,0.09,7,7,1,,,,12.857143,0,0,,
2026-06-28,2026-06-28,"4 Easy Pasta Dinners",inactive,50,Daily,0.42,9,11,1.222222,1,9.090909,0.42,38.181818,0,0,,
