"Reporting starts","Reporting ends","Ad set name","Ad set delivery","Ad set budget","Ad set budget type","Amount spent (USD)",Reach,Impressions,Frequency,"Link clicks","CTR (link click-through rate)","CPC (cost per link click) (USD)","CPM (cost per 1,000 impressions) (USD)","Instagram profile visits","Instagram follows","IG Follow Rate","Cost Per Follow (CPF)"
2026-06-30,2026-06-30,"Joe Audience Test",active,50,Daily,53.33,5813,5970,1.027008,639,10.703518,0.083459,8.932998,640,5,0.0078125,10.666
2026-06-30,2026-06-30,"Target Evergreen Campaign",active,50,Daily,41.34,16536,17111,1.034773,6,0.035065,6.89,2.41599,0,0,,
2026-06-30,2026-06-30,"Whole Foods Evergreen Campaign",active,50,Daily,48,17644,18263,1.035083,10,0.054756,4.8,2.628265,0,0,,
2026-06-30,2026-06-30,"Audience Test (Parents + Cooking)",active,50,Daily,57.25,25577,25577,1,30,0.117293,1.908333,2.238339,9,0,0,
2026-06-30,2026-06-30,"Existing Posts",active,50,Daily,51.06,3153,3301,1.046939,136,4.119964,0.375441,15.46804,117,35,0.2991453,1.45885714
2026-06-29,2026-06-29,"Joe Audience Test",active,50,Daily,48.99,5053,5089,1.007124,514,10.100216,0.095311,9.626646,511,9,0.01761252,5.44333333
2026-06-29,2026-06-29,"Target Evergreen Campaign",active,50,Daily,39.68,16833,17421,1.034931,17,0.097583,2.334118,2.277711,0,0,,
2026-06-29,2026-06-29,"Whole Foods Evergreen Campaign",active,50,Daily,35.44,13228,13961,1.055413,11,0.078791,3.221818,2.5385,0,0,,
2026-06-29,2026-06-29,"Audience Test (Parents + Cooking)",active,50,Daily,49.05,16988,18152,1.068519,9,0.049581,5.45,2.702182,2,0,0,
2026-06-29,2026-06-29,"Existing Posts",active,50,Daily,58.71,3985,4075,1.022585,184,4.515337,0.319076,14.407362,164,47,0.28658537,1.24914894
2026-06-28,2026-06-28,"Joe Audience Test",active,50,Daily,56.38,5677,5694,1.002995,627,11.011591,0.08992,9.901651,624,9,0.01442308,6.26444444
2026-06-28,2026-06-28,"Target Evergreen Campaign",active,50,Daily,44.87,15940,16899,1.060163,4,0.02367,11.2175,2.655187,0,0,,
2026-06-28,2026-06-28,"Whole Foods Evergreen Campaign",active,50,Daily,45.39,18151,19045,1.049253,11,0.057758,4.126364,2.383303,0,0,,
2026-06-28,2026-06-28,"Audience Test (Parents + Cooking)",active,50,Daily,49.73,19526,20070,1.02786,12,0.059791,4.144167,2.477828,2,0,0,
2026-06-28,2026-06-28,"Existing Posts",active,50,Daily,53.96,3211,3360,1.046403,127,3.779762,0.424882,16.059524,112,38,0.33928571,1.42
2026-06-27,2026-06-27,"Joe Audience Test",active,50,Daily,44.15,4120,4120,1,423,10.26699,0.104374,10.716019,424,13,0.03066038,3.39615385
2026-06-27,2026-06-27,"Target Evergreen Campaign",active,50,Daily,14.27,5852,5959,1.018284,2,0.033563,7.135,2.394697,0,0,,
2026-06-27,2026-06-27,"Whole Foods Evergreen Campaign",active,50,Daily,18.53,8093,8223,1.016063,7,0.085127,2.647143,2.253435,0,0,,
2026-06-27,2026-06-27,"Target Promo",inactive,50,Daily,14.63,6206,6519,1.050435,2,0.03068,7.315,2.244209,0,0,,
2026-06-27,2026-06-27,"Audience Test (Parents + Cooking)",active,50,Daily,44.47,18941,19797,1.045193,27,0.136384,1.647037,2.2463,5,0,0,
2026-06-27,2026-06-27,"Existing Posts",active,50,Daily,46.43,2759,2834,1.027184,128,4.516584,0.362734,16.383204,109,39,0.35779817,1.19051282
2026-06-26,2026-06-26,"Joe Audience Test",active,50,Daily,46,4166,4185,1.004561,347,8.291517,0.132565,10.991637,350,9,0.02571429,5.11111111
2026-06-26,2026-06-26,"Target Evergreen Campaign",active,50,Daily,53.72,32479,33341,1.02654,49,0.146966,1.096327,1.611229,0,0,,
2026-06-26,2026-06-26,"Whole Foods Evergreen Campaign",active,50,Daily,26.55,9417,9417,1,5,0.053095,5.31,2.819369,1,0,0,
2026-06-26,2026-06-26,"Target Promo",inactive,50,Daily,40.19,17567,18150,1.033187,18,0.099174,2.232778,2.214325,2,0,0,
2026-06-26,2026-06-26,"Audience Test (Parents + Cooking)",active,50,Daily,51.37,18622,19296,1.036194,28,0.145108,1.834643,2.66221,6,0,0,
2026-06-26,2026-06-26,"Existing Posts",active,50,Daily,48.09,2623,2743,1.045749,107,3.900839,0.449439,17.531899,93,27,0.29032258,1.78111111
