"Reporting starts","Reporting ends","Campaign name","Campaign delivery","Ad set budget","Ad set budget type","Amount spent (USD)",Reach,Impressions,Frequency,"Link clicks","CTR (link click-through rate)","CPC (cost per link click) (USD)","CPM (cost per 1,000 impressions) (USD)","Instagram profile visits","Instagram follows","IG Follow Rate","Cost Per Follow (CPF)"
2026-06-30,2026-06-30,"[2026] Retailer Support Awareness Campaigns",active,"Using ad set budget",0,89.34,32584,35374,1.085625,16,0.045231,5.58375,2.525584,0,0,,
2026-06-30,2026-06-30,"[2026] Instagram Awareness Campaign",active,"Using ad set budget",0,57.25,25577,25577,1,30,0.117293,1.908333,2.238339,9,0,0,
2026-06-30,2026-06-30,"[2026] Instagram Engagement Campaign",active,"Using ad set budget",0,104.39,8912,9271,1.040283,775,8.3594,0.134697,11.259843,757,40,0.05284016,2.60975
2026-06-29,2026-06-29,"[2026] Retailer Support Awareness Campaigns",active,"Using ad set budget",0,75.12,30427,31382,1.031387,28,0.089223,2.682857,2.393729,0,0,,
2026-06-29,2026-06-29,"[2026] Instagram Awareness Campaign",active,"Using ad set budget",0,49.05,16988,18152,1.068519,9,0.049581,5.45,2.702182,2,0,0,
2026-06-29,2026-06-29,"[2026] Instagram Engagement Campaign",active,"Using ad set budget",0,107.7,9059,9164,1.011591,698,7.616761,0.154298,11.75251,675,56,0.08296296,1.92321429
2026-06-28,2026-06-28,"[2026] Retailer Support Awareness Campaigns",active,"Using ad set budget",0,90.26,33436,35944,1.075009,15,0.041732,6.017333,2.511128,0,0,,
2026-06-28,2026-06-28,"[2026] Instagram Awareness Campaign",active,"Using ad set budget",0,49.73,19526,20070,1.02786,12,0.059791,4.144167,2.477828,2,0,0,
2026-06-28,2026-06-28,"[2026] Instagram Engagement Campaign",active,"Using ad set budget",0,110.34,8674,9054,1.043809,754,8.327811,0.14634,12.186879,736,47,0.0638587,2.34765957
2026-06-27,2026-06-27,"[2026] Retailer Support Awareness Campaigns",active,"Using ad set budget",0,47.43,20065,20701,1.031697,11,0.053138,4.311818,2.291194,0,0,,
2026-06-27,2026-06-27,"[2026] Instagram Awareness Campaign",active,"Using ad set budget",0,44.47,18941,19797,1.045193,27,0.136384,1.647037,2.2463,5,0,0,
2026-06-27,2026-06-27,"[2026] Instagram Engagement Campaign",active,"Using ad set budget",0,90.58,6787,6954,1.024606,551,7.923497,0.164392,13.025597,533,52,0.09756098,1.74192308
2026-06-26,2026-06-26,"[2026] Retailer Support Awareness Campaigns",active,"Using ad set budget",0,120.46,58399,60908,1.042963,72,0.118211,1.673056,1.977737,3,0,0,
2026-06-26,2026-06-26,"[2026] Instagram Awareness Campaign",active,"Using ad set budget",0,51.37,18622,19296,1.036194,28,0.145108,1.834643,2.66221,6,0,0,
2026-06-26,2026-06-26,"[2026] Instagram Engagement Campaign",active,"Using ad set budget",0,94.09,6851,6928,1.011239,454,6.553118,0.207247,13.58112,443,36,0.08126411,2.61361111
2026-06-25,2026-06-25,"[2026] Retailer Support Awareness Campaigns",active,"Using ad set budget",0,156.89,78719,81927,1.040753,56,0.068354,2.801607,1.914998,2,0,0,
2026-06-25,2026-06-25,"[2026] Instagram Awareness Campaign",active,"Using ad set budget",0,43.45,16936,17004,1.004015,18,0.105857,2.413889,2.555281,4,0,0,
2026-06-25,2026-06-25,"[2026] Instagram Engagement Campaign",active,"Using ad set budget",0,91.51,6790,6867,1.01134,529,7.70351,0.172987,13.326052,508,59,0.11614173,1.55101695
2026-06-24,2026-06-24,"[2026] Retailer Support Awareness Campaigns",active,"Using ad set budget",0,201.58,67605,68493,1.013135,34,0.04964,5.928824,2.943074,0,0,,
2026-06-24,2026-06-24,"[2026] Instagram Awareness Campaign",active,"Using ad set budget",0,46.58,18218,19295,1.059117,24,0.124385,1.940833,2.414097,4,0,0,
2026-06-24,2026-06-24,"[2026] Instagram Engagement Campaign",active,"Using ad set budget",0,106.59,6047,6318,1.044816,446,7.059196,0.238991,16.870845,412,70,0.16990291,1.52271429
2026-06-23,2026-06-23,"[2026] Retailer Support Awareness Campaigns",active,"Using ad set budget",0,231.04,72339,75076,1.037836,102,0.135862,2.265098,3.077415,2,0,0,
2026-06-23,2026-06-23,"[2026] Instagram Awareness Campaign",active,"Using ad set budget",0,44.07,14772,15725,1.064514,5,0.031797,8.814,2.802544,1,0,0,
2026-06-23,2026-06-23,"[2026] Instagram Engagement Campaign",active,"Using ad set budget",0,107.48,4753,5071,1.066905,316,6.231513,0.340127,21.195031,299,82,0.27424749,1.31073171
2026-06-22,2026-06-22,"[2026] Retailer Support Awareness Campaigns",active,"Using ad set budget",0,130.61,49523,50700,1.023767,52,0.102564,2.511731,2.576134,1,0,0,
2026-06-22,2026-06-22,"[2026] Instagram Awareness Campaign",active,"Using ad set budget",0,94.14,29093,34152,1.173891,26,0.07613,3.620769,2.7565,11,0,0,
2026-06-22,2026-06-22,"[2026] Instagram Engagement Campaign",active,"Using ad set budget",0,77.38,4357,4452,1.021804,242,5.435759,0.319752,17.380952,221,61,0.2760181,1.26852459
2026-06-21,2026-06-21,"[2026] Retailer Support Awareness Campaigns",active,"Using ad set budget",0,121.35,41525,45327,1.091559,22,0.048536,5.515909,2.677212,0,0,,
2026-06-21,2026-06-21,"[2026] Instagram Awareness Campaign",active,"Using ad set budget",0,129.39,52568,56271,1.070442,74,0.131506,1.748514,2.299408,18,0,0,
2026-06-21,2026-06-21,"[2026] Instagram Engagement Campaign",active,"Using ad set budget",0,84.35,4883,5054,1.035019,331,6.549268,0.254834,16.689751,292,83,0.28424658,1.01626506
2026-06-20,2026-06-20,"[2026] Retailer Support Awareness Campaigns",active,"Using ad set budget",0,79.72,29390,32182,1.094998,26,0.080791,3.066154,2.477161,0,0,,
2026-06-20,2026-06-20,"[2026] Instagram Awareness Campaign",active,"Using ad set budget",0,89.01,31055,32004,1.030559,33,0.103112,2.697273,2.781215,7,0,0,
2026-06-20,2026-06-20,"[2026] Instagram Engagement Campaign",active,"Using ad set budget",0,69.71,3511,3606,1.027058,209,5.795896,0.333541,19.331669,188,52,0.27659574,1.34057692
2026-06-19,2026-06-19,"[2026] Retailer Support Awareness Campaigns",active,"Using ad set budget",0,99.74,33291,36034,1.082395,18,0.049953,5.541111,2.767941,0,0,,
2026-06-19,2026-06-19,"[2026] Instagram Awareness Campaign",active,"Using ad set budget",0,80.68,28918,30513,1.055156,24,0.078655,3.361667,2.644119,7,0,0,
2026-06-19,2026-06-19,"[2026] Instagram Engagement Campaign",active,"Using ad set budget",0,61.77,3342,3369,1.008079,220,6.530128,0.280773,18.334817,207,46,0.22222222,1.34282609
2026-06-18,2026-06-18,"[2026] Retailer Support Awareness Campaigns",active,"Using ad set budget",0,132.73,56894,59027,1.037491,54,0.091484,2.457963,2.248632,0,0,,
2026-06-18,2026-06-18,"[2026] Instagram Awareness Campaign",active,"Using ad set budget",0,105.77,45528,48426,1.063653,55,0.113575,1.923091,2.184157,8,0,0,
2026-06-18,2026-06-18,"[2026] Instagram Engagement Campaign",active,"Using ad set budget",0,70.2,4265,4265,1,317,7.432591,0.221451,16.459555,309,71,0.22977346,0.98873239
2026-06-17,2026-06-17,"[2026] Retailer Support Awareness Campaigns",active,"Using ad set budget",0,94.74,38229,41505,1.085694,30,0.07228,3.158,2.282617,0,0,,
2026-06-17,2026-06-17,"[2026] Instagram Awareness Campaign",active,"Using ad set budget",0,78.36,28856,32629,1.130753,24,0.073554,3.265,2.401545,6,0,0,
2026-06-17,2026-06-17,"[2026] Instagram Engagement Campaign",active,"Using ad set budget",0,88.33,5536,5735,1.035947,376,6.556234,0.23492,15.401918,352,78,0.22159091,1.1324359
2026-06-16,2026-06-16,"[2026] Retailer Support Awareness Campaigns",active,"Using ad set budget",0,97.83,40942,43787,1.069489,34,0.077649,2.877353,2.234225,0,0,,
2026-06-16,2026-06-16,"[2026] Instagram Awareness Campaign",active,"Using ad set budget",0,143.61,81648,83444,1.021997,132,0.15819,1.087955,1.721034,26,0,0,
2026-06-16,2026-06-16,"[2026] Instagram Engagement Campaign",active,"Using ad set budget",0,43.92,2715,2834,1.043831,154,5.434016,0.285195,15.49753,137,37,0.27007299,1.18702703
2026-06-15,2026-06-15,"[2026] Retailer Support Awareness Campaigns",active,"Using ad set budget",0,90.91,37504,39626,1.056581,21,0.052996,4.329048,2.294201,0,0,,
2026-06-15,2026-06-15,"[2026] Instagram Awareness Campaign",active,"Using ad set budget",0,100.15,40116,43189,1.076603,40,0.092616,2.50375,2.318877,8,0,0,
