"Reporting starts","Reporting ends","Ad name","Ad delivery","Ad set budget","Ad set budget type","Amount spent (USD)","CPM (cost per 1,000 impressions) (USD)",Reach,Impressions,Frequency,"IG Follow Rate","Instagram profile visits","Instagram follows","Cost Per Follow (CPF)","CTR (link click-through rate)","Link clicks","Landing page views rate per link clicks"
2026-09-17,2026-09-17,"Did You Know",active,75,Daily,29.73,37.116105,769,801,1.041612,0.31707317,41,13,2.28692308,5.742821,46,10.869565
2026-09-17,2026-09-17,"Frozen Pasta Can't Be That Good",active,75,Daily,26.43,17.62,1456,1500,1.03022,0.32653061,49,16,1.651875,3.933333,59,8.474576
2026-09-17,2026-09-17,"Imagine Hating On Me",active,75,Daily,4.65,31.208054,139,149,1.071942,0.125,8,1,4.65,6.040268,9,0
2026-09-16,2026-09-16,"Did You Know",active,75,Daily,76.7,33.714286,2135,2275,1.065574,0.28089888,89,25,3.068,4.043956,92,15.217391
2026-09-16,2026-09-16,"Frozen Pasta Can't Be That Good",active,75,Daily,90.04,16.953493,5055,5311,1.050643,0.285,200,57,1.57964912,4.198833,223,5.829596
2026-09-16,2026-09-16,"Imagine Hating On Me",active,75,Daily,19.67,28.590116,667,688,1.031484,0.12903226,31,4,4.9175,5.087209,35,0
2026-09-15,2026-09-15,"Did You Know",active,75,Daily,87.61,28.116175,2823,3116,1.10379,0.17557252,131,23,3.80913043,4.428755,138,7.971014
2026-09-15,2026-09-15,"Frozen Pasta Can't Be That Good",active,75,Daily,94.35,16.408696,5256,5750,1.093988,0.2745098,204,56,1.68482143,3.913043,225,9.333333
2026-09-15,2026-09-15,"Imagine Hating On Me",active,75,Daily,4.57,21.455399,210,213,1.014286,0.15384615,13,2,2.285,7.981221,17,0
2026-09-14,2026-09-14,"Did You Know",active,75,Daily,23.53,19.052632,1225,1235,1.008163,0.13043478,46,6,3.92166667,3.643725,45,2.222222
2026-09-14,2026-09-14,"Frozen Pasta Can't Be That Good",active,75,Daily,42.38,15.244604,2667,2780,1.04237,0.28846154,104,30,1.41266667,4.100719,114,10.526316
2026-09-14,2026-09-14,"Imagine Hating On Me",active,75,Daily,14.32,21.246291,649,674,1.038521,0.02857143,35,1,14.32,5.192878,35,0
2026-09-12,2026-09-12,"Did You Know",active,75,Daily,13.22,22.793103,556,580,1.043165,0.23076923,26,6,2.20333333,5.344828,31,19.354839
2026-09-12,2026-09-12,"Frozen Pasta Can't Be That Good",active,75,Daily,37.52,18.997468,1852,1975,1.066415,0.30434783,69,21,1.78666667,3.848101,76,10.526316
2026-09-12,2026-09-12,"Imagine Hating On Me",active,75,Daily,26.9,39.212828,662,686,1.036254,0.22916667,48,11,2.44545455,7.725948,53,1.886792
2026-09-11,2026-09-11,"Did You Know",active,75,Daily,13.98,22.296651,616,627,1.017857,0.13333333,30,4,3.495,4.944179,31,6.451613
2026-09-11,2026-09-11,"Frozen Pasta Can't Be That Good",active,75,Daily,85.03,16.636666,4750,5111,1.076,0.23809524,189,45,1.88955556,3.991391,204,9.313725
2026-09-11,2026-09-11,"Imagine Hating On Me",active,75,Daily,105.2,37.120677,2656,2834,1.067018,0.13291139,158,21,5.00952381,5.610445,159,1.257862
2026-09-10,2026-09-10,"Did You Know",active,75,Daily,3.48,24.166667,144,144,1,0.16666667,6,1,3.48,4.166667,6,0
2026-09-10,2026-09-10,"Frozen Pasta Can't Be That Good",active,75,Daily,66.45,15,4376,4430,1.01234,0.25,180,45,1.47666667,3.950339,175,10.285714
2026-09-10,2026-09-10,"Imagine Hating On Me",active,75,Daily,106.86,30.618911,3252,3490,1.073186,0.11875,160,19,5.62421053,4.842407,169,0
2026-09-09,2026-09-09,"Did You Know",active,75,Daily,1.34,14.565217,91,92,1.010989,0,0,0,0,,,0
